encounter_datetime,park_area_id,city_agency,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
07/04/2020 06:40:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/08/2020 10:10:00 AM,B553,DOHMH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/07/2020 02:47:00 PM,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/28/2020 04:17:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/29/2020 04:20:00 PM,M071-04,Law Department,,,,,,Basketball court,10,false,false,Manhattan
07/05/2020 01:30:00 PM,B218,DOHMH,Social distancing,Social Distancing,0,6,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 01:30:00 PM,B218,DOHMH,Social distancing,Social Distancing,0,6,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 01:30:00 PM,B218,DOHMH,Social distancing,Social Distancing,0,6,Open field/multi-purpose play area,,,,,Brooklyn
07/07/2020 06:30:00 PM,Q393A,DOHMH,Social distancing,Social Distancing,3,0,Open field/multi-purpose play area,,,,,Queens
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/07/2020 07:45:00 PM,Q004,DOHMH,Social distancing,Social Distancing,5,0,Skate park,,,,,Queens
07/07/2020 08:36:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 08:16:00 PM,B080,DOHMH,Social distancing,Social Distancing,5,0,Walking path,,,,,Brooklyn
07/07/2020 07:45:00 PM,Q004,DOHMH,Social distancing,Social Distancing,5,0,Skate park,,,,,Queens
07/07/2020 07:43:00 PM,Q004,DOHMH,Social distancing,Social Distancing,5,0,Bench/sitting area,,,,,Queens
07/07/2020 07:42:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:30:00 PM,Q448-01,DOHMH,Social distancing,Social Distancing,15,15,Chess area,,,,,Queens
07/07/2020 04:35:00 PM,Q448-99,DOHMH,Social distancing,Social Distancing,20,5,Playground,,,,,Queens
07/07/2020 07:28:00 PM,B080,DOHMH,Social distancing,Social Distancing,7,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 07:24:00 AM,Q004,DOHMH,Social distancing,Social Distancing,10,10,Soccer field,,,,,Queens
07/07/2020 07:20:00 PM,Q004,DOHMH,Social distancing,Social Distancing,15,15,Soccer field,,,,,Queens
07/07/2020 07:14:00 PM,Q004,DOHMH,Social distancing,Social Distancing,15,15,Soccer field,,,,,Queens
07/07/2020 07:04:00 PM,B169A,DOHMH,Social distancing,Social Distancing,12,5,Chess area,,,,,Brooklyn
07/07/2020 06:56:00 PM,B169A,DOHMH,Social distancing,Social Distancing,3,0,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:52:00 PM,B169A,DOHMH,Social distancing,Social Distancing,4,0,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:50:00 PM,B169A,DOHMH,Social distancing,Social Distancing,3,0,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:26:00 PM,M058-01,DOHMH,Social distancing,Social Distancing,0,0,Chess area,,,,,Manhattan
07/07/2020 06:35:00 PM,B080,DOHMH,Social distancing,Social Distancing,3,0,Walking path,,,,,Brooklyn
07/07/2020 06:20:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
,Q104,Law Department,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/07/2020 05:51:00 PM,B080,DOHMH,Social distancing,Social Distancing,2,3,Soccer field,,,,,Brooklyn
07/07/2020 05:35:00 PM,B080,DOHMH,Social distancing,Social Distancing,4,0,Walking path,,,,,Brooklyn
07/07/2020 05:10:00 PM,B066,DDC,Social distancing,Social Distancing,8,0,Open field/multi-purpose play area,,,,,Brooklyn
07/07/2020 05:10:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 04:55:00 PM,B080,DOHMH,Social distancing,Social Distancing,3,0,Chess area,,,,,Brooklyn
