encounter_datetime,park_area_id,park_division,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
07/08/2020 11:26:00 AM,Q425,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/08/2020 10:40:00 AM,Q102-02,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/08/2020 11:00:00 AM,Q102-03,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/08/2020 11:20:00 AM,Q304,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/08/2020 11:00:00 AM,X103,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/08/2020 10:50:00 AM,X045,Recreation,Social Distancing,Social Distancing,10,8,Bench/sitting area,,,,,Bronx
07/08/2020 11:15:00 AM,M019,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 10:45:00 AM,M206,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 10:30:00 AM,M194,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 10:25:00 AM,X228,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/08/2020 09:50:00 AM,M015,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 11:15:00 AM,M030,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 10:50:00 AM,M013,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 10:15:00 AM,X045-03,Recreation,Social Distancing,Social Distancing,15,5,Bench/sitting area,,,,,Bronx
07/08/2020 10:50:00 AM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/08/2020 10:45:00 AM,M165,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 10:35:00 AM,M065,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 10:15:00 AM,M144-01,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 09:40:00 AM,M047-01,Recreation,Social Distancing,Social Distancing,40,17,Track/field area,,,,,Manhattan
07/08/2020 10:00:00 AM,B245,Recreation,Social Distancing,Social Distancing,20,0,Track/field area,,,,,Brooklyn
07/08/2020 10:00:00 AM,M144,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/08/2020 09:45:00 AM,X045-01,Recreation,Social Distancing,Social Distancing,0,0,Open field/multi-purpose play area,,,,,Bronx
07/08/2020 10:25:00 AM,M017,Recreation,Social Distancing,Social Distancing,0,5,Bench/sitting area,,,,,Manhattan
07/08/2020 08:10:00 AM,X045-03,Recreation,Social Distancing,Social Distancing,0,0,Adult fitness equipment,,,,,Bronx
07/07/2020 09:45:00 AM,Q099,Recreation,No encounter,No Encounter,,,,,,,,Queens
,M022,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/03/2020 02:30:00 PM,Q024,Recreation,Social Distancing,Social Distancing,2,0,Walking path,,,,,Queens
06/07/2020 06:30:00 PM,R088,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
06/07/2020 06:30:00 PM,R088,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/07/2020 04:15:00 PM,M122,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:00:00 PM,B052,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/07/2020 02:00:00 PM,B192A,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/07/2020 03:00:00 PM,Q048-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 04:15:00 PM,M122,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:55:00 PM,M235,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:40:00 PM,M065,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:40:00 PM,M065,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:25:00 PM,M165,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:10:00 PM,M144,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:00:00 PM,M178,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:30:00 PM,M105-08,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:20:00 PM,M082,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:10:00 PM,M082,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 02:55:00 PM,M015,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 02:50:00 PM,M132,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 02:40:00 PM,M206,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 02:30:00 PM,M194,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:35:00 PM,M386,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:05:00 PM,M391,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 03:52:00 PM,Q102-03,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 04:02:00 PM,Q102-02,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:00:00 AM,Q048-01,Recreation,Social Distancing,Social Distancing,3,0,Walking path,,,,,Queens
07/07/2020 03:36:00 PM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 03:00:00 PM,Q448,Recreation,Social Distancing,Social Distancing,0,5,Track/field area,,,,,Queens
07/07/2020 01:30:00 PM,X104,Recreation,Social Distancing,Social Distancing,7,3,Track/field area,,,,,Bronx
07/07/2020 11:00:00 AM,B126,Recreation,Social Distancing,Social Distancing,22,0,Playground,,,,,Brooklyn
07/06/2020 09:20:00 AM,B126,Recreation,Social Distancing,Social Distancing,20,0,Track/field area,,,,,Brooklyn
07/07/2020 03:26:00 PM,Q015-08,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 03:00:00 PM,Q048-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:30:00 AM,Q218,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 03:15:00 PM,Q104,Recreation,Social Distancing,Social Distancing,3,0,Walking path,,,,,Queens
07/07/2020 12:17:00 PM,X030,Recreation,Social Distancing,Social Distancing,172,47,Basketball court,,,,,Bronx
07/07/2020 03:04:00 AM,X045-03,Recreation,Social Distancing,Social Distancing,58,0,Adult fitness equipment,,,,,Bronx
07/07/2020 03:15:00 PM,Q304,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 03:03:00 PM,Q207,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:44:00 PM,X045-02,Recreation,Social Distancing,Social Distancing,22,0,Bench/sitting area,,,,,Bronx
07/07/2020 11:08:00 AM,Q015-08,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:51:00 PM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/04/2020 11:00:00 AM,R046,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/03/2020 10:00:00 AM,R046-06,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/04/2020 02:00:00 PM,R046,Recreation,Social Distancing,Social Distancing,3,3,Walking path,,,,,Staten Island
07/07/2020 02:40:00 PM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/07/2020 02:45:00 PM,Q319,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:41:00 PM,Q099-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:39:00 PM,Q377,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:38:00 PM,Q357B,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:20:00 AM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 01:00:00 PM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
